barri,total,dones,homes
el Raval,47228,21868,2536
el Barri Gòtic,21827,8463,13364
la Barceloneta,14643,7405,7238
"Sant Pere, Santa Caterina i la Ribera",22131,11039,11092
el Fort Pienc,31262,16571,14691
la Sagrada Família,51319,27692,23627
la Dreta de l'Eixample,44675,23512,21163
l'Antiga Esquerra de l'Eixample,41990,22179,19811
la Nova Esquerra de l'Eixample,57054,30392,26662
Sant Antoni,38053,19931,18122
el Poble-sec,39400,20047,19353
la Marina del Prat Vermell,1350,655,695
la Marina de Port,30741,15949,14792
la Font de la Guatlla,10084,5299,4785
Hostafrancs,15842,825,7592
la Bordeta,19292,10096,9196
Sants - Badal,24576,13065,11511
Sants,43082,22327,20755
les Corts,45422,24418,21004
la Maternitat i Sant Ramon,23574,12604,1097
Pedralbes,11581,6196,5385
"Vallvidrera, el Tibidabo i les Planes",4697,2377,232
Sarrià,24405,13076,11329
les Tres Torres,16228,8649,7579
Sant Gervasi - la Bonanova,25659,13841,11818
Sant Gervasi - Galvany,46816,25766,2105
el Putxet i el Farró,29629,16072,13557
Vallcarca i els Penitents,16142,8626,7516
el Coll,7590,4049,3541
la Salut,13282,713,6152
la Vila de Gràcia,49492,26881,22611
el Camp d'en Grassot i Gràcia Nova,34932,18898,16034
el Baix Guinardó,25601,13758,11843
Can Baró,9233,4872,4361
el Guinardó,36939,19667,17272
la Font d'en Fargues,9458,495,4508
el Carmel,32444,17032,15412
la Teixonera,11926,618,5746
Sant Genís dels Agudells,7249,3844,3405
Montbau,5071,2785,2286
la Vall d'Hebron,5882,3139,2743
la Clota,689,330,359
Horta,27707,14761,12946
Vilapicina i la Torre Llobeta,25674,13888,11786
Porta,27418,14562,12856
el Turó de la Peira,16025,8529,7496
Can Peguera,2204,1177,1027
la Guineueta,15189,818,7009
Canyelles,6797,3577,322
les Roquetes,16373,8473,79
Verdun,12727,6813,5914
la Prosperitat,26669,14189,1248
la Trinitat Nova,7507,3907,36
Torre Baró,2890,1448,1442
Ciutat Meridiana,11026,562,5406
Vallbona,1384,703,681
la Trinitat Vella,10364,5092,5272
Baró de Viver,2645,135,1295
el Bon Pastor,13582,6796,6786
Sant Andreu,57954,30586,27368
la Sagrera,29351,15605,13746
el Congrés i els Indians,14420,7692,6728
Navas,22091,11784,10307
el Camp de l'Arpa del Clot,38360,20374,17986
el Clot,26520,13833,12687
el Parc i la Llacuna del Poblenou,15603,807,7533
la Vila Olímpica del Poblenou,9240,4703,4537
el Poblenou,33976,17475,16501
Diagonal Mar i el Front Marítim del Poblenou,13323,6821,6502
el Besòs i el Maresme,25657,1225,13407
Provençals del Poblenou,20949,10926,10023
Sant Martí de Provençals,26032,13853,12179
la Verneda i la Pau,28585,15071,13514
