region_name,bound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Least developed countries,Lower,"506,276","495,014","485,197","476,225","467,709","457,100","447,947","438,852","428,863","418,188","407,431","395,874","384,549","374,036","363,833","353,797","344,518","335,507","326,621","318,146","310,240","302,291","294,651","286,688","279,739","272,964","265,955","258,961","252,200","245,639","239,296","233,208","226,842"
Least developed countries,Median,"525,289","513,492","502,994","493,876","485,126","474,226","464,593","454,968","444,468","433,304","421,847","409,767","398,089","387,337","376,699","366,384","357,026","348,014","339,009","330,642","322,835","315,315","308,429","301,535","295,137","288,989","282,783","276,752","270,803","264,985","259,465","254,039","248,625"
Least developed countries,Upper,"579,477","566,654","555,697","545,603","536,063","523,557","512,899","502,360","490,388","477,630","464,716","451,159","437,934","425,651","412,510","399,464","387,437","376,344","365,155","354,829","346,186","338,318","331,771","325,602","320,601","316,145","311,922","308,306","304,500","301,709","299,286","296,839","295,596"
Landlocked developing countries,Lower,"455,336","449,274","444,727","442,474","439,621","432,753","427,618","421,959","414,853","406,734","397,602","387,523","377,795","368,997","359,720","350,750","342,184","333,477","323,309","314,347","305,556","296,876","288,654","280,247","272,503","265,724","259,245","252,800","245,520","239,093","231,900","225,836","219,673"
Landlocked developing countries,Median,"476,386","469,603","464,667","462,341","459,353","452,678","447,153","440,836","433,258","424,718","415,327","404,646","394,200","384,843","375,068","365,327","356,416","347,192","336,890","327,913","319,193","310,558","302,622","294,732","287,525","281,203","275,254","269,829","263,501","257,883","252,314","247,885","242,953"
Landlocked developing countries,Upper,"524,783","517,645","512,548","510,468","507,525","500,120","493,802","486,847","477,890","468,074","457,198","444,613","432,214","421,505","410,147","399,203","388,626","378,011","365,819","354,443","344,094","334,506","325,198","316,481","309,334","303,548","298,559","294,529","290,413","287,873","286,191","285,716","285,269"
Small island developing States,Lower,"249,693","247,435","244,562","241,795","239,182","235,184","234,594","229,517","227,978","224,901","221,022","220,468","217,050","216,499","216,406","216,388","215,980","213,910","210,108","206,694","206,661","200,473","197,422","194,447","190,528","186,345","184,111","179,875","175,338","171,122","166,320","161,552","156,125"
Small island developing States,Median,"263,701","260,840","257,488","254,425","251,927","247,815","247,016","241,449","239,952","236,878","233,189","232,852","229,410","228,885","229,123","229,124","229,104","227,180","223,354","220,270","220,654","215,202","212,880","210,852","208,112","205,375","205,260","203,021","199,726","197,322","194,440","191,123","187,207"
Small island developing States,Upper,"285,222","281,615","277,801","274,667","271,674","267,311","266,321","260,130","258,416","254,820","250,940","250,546","246,401","246,036","246,443","246,771","247,074","245,388","241,411","238,301","239,502","234,691","233,414","233,023","231,926","230,866","234,090","235,354","235,634","237,415","238,388","238,608","238,468"
Europe and Northern America,Lower,"67,410","65,257","63,248","61,447","59,918","57,760","55,609","53,456","51,182","48,701","46,983","45,890","44,850","43,380","41,738","40,274","38,862","37,393","35,928","34,776","34,017","33,752","33,605","33,120","32,250","31,155","30,044","29,212","28,608","27,968","26,990","25,790","24,627"
Europe and Northern America,Median,"73,204","70,816","68,533","66,568","64,790","62,506","60,236","57,999","55,657","53,077","51,286","50,119","48,943","47,348","45,614","43,991","42,452","40,870","39,274","38,012","37,139","36,801","36,582","36,067","35,117","33,927","32,716","31,787","31,108","30,385","29,331","28,067","26,818"
Europe and Northern America,Upper,"78,092","75,250","72,405","70,130","68,116","65,452","62,831","60,256","57,700","54,948","53,097","51,900","50,689","49,019","47,227","45,508","43,918","42,301","40,663","39,375","38,471","38,139","37,914","37,348","36,356","35,110","33,845","32,815","32,097","31,321","30,262","29,070","28,061"
Northern America,Lower,"50,945","49,407","48,070","46,761","45,538","44,636","44,096","43,565","42,738","41,873","41,560","41,912","42,220","41,951","41,224","40,520","39,971","39,409","38,603","37,758","37,258","37,211","37,196","36,881","36,247","35,542","34,930","34,548","34,422","34,153","33,088","31,133","28,995"
Northern America,Median,"56,152","54,482","52,977","51,472","50,054","48,999","48,320","47,678","46,751","45,816","45,452","45,708","46,000","45,710","44,961","44,185","43,619","42,994","42,130","41,227","40,654","40,499","40,411","40,027","39,377","38,647","37,998","37,552","37,386","37,094","36,017","34,012","31,829"
