Main ID,Incident Date,Incident Year,Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,lat,long
2014.MMP00007,2014-01-19,2014,January,12,,12,,9,,3,Drowning,37.2832,27
2014.MMP00018,2014-02-06,2014,February,15,0,15,0,,1,,Violence,35.8793,-5
2014.MMP00022,2014-02-17,2014,February,2,0,2,121,,2,,Mixed or unknown,34.5645,16
2014.MMP00031,2014-02-27,2014,February,7,,7,,,,,Violence,33.1597,15
2014.MMP00044,2014-03-17,2014,March,1,,1,,,,,Vehicle accident / death linked to hazardous transport,34.9797,13
2014.MMP00045,2014-03-18,2014,March,7,2,9,8,1,1,1,Drowning,39.398814,26
2014.MMP00056,2014-04-09,2014,April,1,0,1,661,,,,Mixed or unknown,35.1092,14
2014.MMP00063,2014-04-16,2014,April,8,1,9,5,2,,1,Drowning,38.669208,27
2014.MMP00072,2014-04-30,2014,April,,40,40,1,,,,Drowning,34.3706,14
2014.MMP00076,2014-05-02,2014,May,4,0,4,80,,,,Drowning,33.1045,14
2014.MMP00078,2014-05-05,2014,May,22,7,29,36,,,,Drowning,37.848433,27
2014.MMP00080,2014-05-06,2014,May,44,33,77,53,,,,Drowning,32.6801,16
2014.MMP00081,2014-05-07,2014,May,1,0,1,,,1,,Mixed or unknown,35.8196,12
2014.MMP00086,2014-05-12,2014,May,17,200,217,226,12,2,3,Drowning,34.7086,16
2014.MMP00090,2014-05-23,2014,May,1,0,1,,,1,1,Accidental death,39.5061,20
2014.MMP00099,2014-06-05,2014,June,3,0,3,,,,,Mixed or unknown,35.358,13
2014.MMP00101,2014-06-08,2014,June,4,,4,,,,,Drowning,35.4125,12
2014.MMP00102,2014-06-09,2014,June,3,2,5,0,,,,Drowning,36.4935,14
2014.MMP00114,2014-06-14,2014,June,10,0,10,39,,,,Drowning,34.2775,15
2014.MMP00116,2014-06-15,2014,June,1,0,1,356,,,,Mixed or unknown,35.9061,12
2014.MMP00121,2014-06-18,2014,June,4,0,4,0,,,,Violence,35.2783,-3
2014.MMP00127,2014-06-27,2014,June,0,240,240,0,,,,Drowning,34.6033,17
2014.MMP00129,2014-06-29,2014,June,,1,1,,,,,Drowning,36.1838,13
2014.MMP00129,2014-06-29,2014,June,,3,3,,,,,Drowning,36.1838,13
2014.MMP00129,2014-06-29,2014,June,2,,2,,,4,,Drowning,36.1838,13
2014.MMP00130,2014-06-29,2014,June,45,,45,566,,45,,Vehicle accident / death linked to hazardous transport,36.222841,14.688719
2014.MMP00131,2014-07-01,2014,July,0,75,75,27,,,,Drowning,36.4317,15.8313
2014.MMP00135,2014-07-05,2014,July,13,,13,,,,,Mixed or unknown,33.0335,15
2014.MMP00137,2014-07-06,2014,July,3,,3,,,,,Drowning,32.9615,13
2014.MMP00137,2014-07-06,2014,July,6,188,194,,,,,Drowning,32.9615,13
2014.MMP00137,2014-07-06,2014,July,3,,3,0,1,,2,Drowning,32.9615,13
2014.MMP00141,2014-07-11,2014,July,4,21,25,13,1,2,1,Drowning,37.862031,26.921962
2014.MMP00143,2014-07-12,2014,July,12,,12,,,,,Drowning,32.9511,13.2042
2014.MMP00146,2014-07-14,2014,July,1,109,110,12,1,,,Drowning,33.6564,15
2014.MMP00148,2014-07-17,2014,July,3,0,3,90,,,,Drowning,32.8343,14
2014.MMP00149,2014-07-17,2014,July,0,41,41,61,,,,Drowning,33.2423,13
2014.MMP00152,2014-07-19,2014,July,2,53,55,1,,,,Drowning,31.5818,31
2014.MMP00153,2014-07-19,2014,July,3,0,3,104,,,,Drowning,33.4442,14
2014.MMP00154,2014-07-19,2014,July,,151,151,,,,,Drowning,34.5821,14.2163
2014.MMP00154,2014-07-19,2014,July,29,,29,569,,,1,Mixed or unknown,34.5821,14.2163
2014.MMP00156,2014-07-21,2014,July,5,14,19,61,,,,Drowning,36.3557,14
2014.MMP00162,2014-07-28,2014,July,20,108,128,22,,,,Drowning,34.4666,14
2014.MMP00170,2014-08-03,2014,August,2,170,172,200,1,,1,Drowning,33.499179,15.490763
2014.MMP00178,2014-08-24,2014,August,170,81,251,19,,,1,Drowning,32.9212,13.7659
2014.MMP00179,2014-08-23,2014,August,18,8,26,73,,26,,Drowning,35.2823,15.8752
2014.MMP00181,2014-08-24,2014,August,24,,24,364,,,,Drowning,34.5671,14.0625
2014.MMP00182,2014-08-22,2014,August,1,,1,,,,,Mixed or unknown,34.3134,16.9189
2014.MMP00189,2014-08-29,2014,August,42,,42,,8,,5,Drowning,33.5111,12
2014.MMP00190,2014-08-31,2014,August,,100,100,,,,,Drowning,32.8879,14
2014.MMP00204,2014-09-12,2014,September,3,497,500,10,,,,Drowning,33.9069,14.4141
2014.MMP00205,2014-09-12,2014,September,2,16,18,12,,,1,Drowning,34.9853,16.106
