deporte,hombres,mujeres,total
ACTIVIDADES SUBACUÁTICAS,26907,5382,32289
AERONÁUTICA,11681,645,12326
AJEDREZ,26384,3053,29437
ATLETISMO,51062,41404,92466
AUTOMOVILISMO,20459,3094,23553
BÁDMINTON,5872,3847,9719
BAILE DEPORTIVO,806,3245,4051
BALONCESTO,246464,130644,377108
BALONMANO,61232,37629,98861
BÉISBOL Y SÓFBOL,4809,1318,6127
BILLAR,3187,107,3294
BOLOS,6095,1262,7357
BOXEO,6704,1293,7997
CAZA,329600,4245,333845
CICLISMO,68730,5945,74675
COLOMBICULTURA,22840,3989,26829
COLOMBÓFILA,3275,118,3393
DEP. DISCAPACIDAD FÍSICA,1487,366,1853
DEP. DISCAPACIDAD INTELECTUAL,6606,2778,9384
DEP. PARA CIEGOS,1250,377,1627
DEP. PARA SORDOS,711,157,868
DEP. PARÁLISIS CEREBRAL Y DCA,822,397,1219
DEPORTES DE HIELO,1232,1057,2289
DEPORTES DE INVIERNO,2549,1674,4223
ESGRIMA,4143,1854,5997
ESQUÍ NÁUTICO,534,253,787
FÚTBOL,1049824,87827,1137651
FÚTBOL AMERICANO,4493,846,5339
GALGOS,11137,1235,12372
GIMNASIA,3410,43471,46881
GOLF,211878,81500,293378
HALTEROFILIA,2396,1470,3866
HÍPICA,18394,50376,68770
HOCKEY,9362,7399,16761
JUDO,73141,25650,98791
KÁRATE,50456,24644,75100
KICKBOXING Y MUAYTHAI,10026,2932,12958
LUCHAS OLÍMPICAS,12292,3764,16056
MONTAÑA Y ESCALADA,185691,103914,289605
MOTOCICLISMO,18033,1146,19179
MOTONÁUTICA,367,42,409
NATACIÓN,35972,30803,66775
ORIENTACIÓN,3424,2052,5476
PÁDEL,63792,32769,96561
PATINAJE,28365,42833,71198
PELOTA,11997,1834,13831
PENTATLÓN MODERNO,167,267,434
PESCA Y CASTING,50119,3382,53501
PETANCA,8881,2156,11037
PIRAGÜISMO,6928,3201,10129
POLO,869,256,1125
REMO,9108,6158,15266
RUGBY,31617,6844,38461
SALVAMENTO Y SOCORRISMO,7563,4138,11701
SQUASH,1587,388,1975
SURFING,39769,35295,75064
TAEKWONDO,30885,16082,46967
TENIS,58784,24737,83521
TENIS DE MESA,13695,2161,15856
TIRO A VUELO,1701,140,1841
TIRO CON ARCO,14891,5440,20331
TIRO OLÍMPICO,43572,5870,49442
TRIATLÓN,25603,8682,34285
VELA,14364,4052,18416
VOLEIBOL,29242,66196,95438
