STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,GEO_AREA,,AGE,,SEX,,EDUCATION_LEVEL,,INCOME_GROUP,,EMP_STATUS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,OBS_STATUS_2,,OBS_STATUS_3,,UNIT_MULT,,TIME_HORIZON_USE,,DECIMALS,,BREAKDOWN_V7_HH,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2005,,8.7271,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2006,,12.3409,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2007,,15.7477,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2008,,16.435,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2009,,20.6616,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2010,,22.8908,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2011,,27.1138,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2013,,32.1644,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2015,,30.3845,,A,,,,,,0,,,,2,,IND_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),,I,ITA,,A,,D1H_I,,PT_POP,,_Z,,Y16T74,,_T,,_T,,_T,,_T,,2016,,31.4366,,A,,,,,,0,,,,2,,IND_TOTAL,
